text,song_title,album_title,writer_name,year
-0.17373737373737372,Strangers When We Meet,The Buddha of Suburbia,David Bowie,1993
0.6,Subterraneans,Low,David Bowie,1977
0.0730599647266314,Sue (Or in a Season of Crime),Nothing Has Changed,David Bowie,2014
0.01588718820861677,Suffragette City,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,1972
0.18333333333333332,Sunday,Heathen,David Bowie,2002
-0.03937500000000001,The Supermen ,The Man Who Sold the World,David Bowie,1970
0.163265306122449,Survive,Hours,David Bowie,1999
0.2879960317460316,Sweet Head,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,David Bowie,1990
0.32982456140350874,Sweet Thing,Diamond Dogs,David Bowie,1974
0.35,Sweet Thing (Reprise),Diamond Dogs,David Bowie,1974
-0.010457135457135466,Teenage Wildlife,Scary Monsters (And Super Creeps),David Bowie,1980
0.20238095238095236,Telling Lies,Earthling,David Bowie,1997
0.05538239538239539,That's Motivation,Absolute Beginners,David Bowie,1986
0.40222222222222226,That's Where My Heart Is,Early On (1964–1966),David Bowie,1965
0.03607683982683983,There Is a Happy Land,David Bowie,David Bowie,1967
-0.17857142857142855,This Is Not America ( Pat Metheny Group  & David Bowie) ,Falcon and the Snowman|,David Bowie,1985
0.01923076923076925,Thru These Architects Eyes,Outside,David Bowie,1995
0.08849206349206348,Thursday's Child,Hours,David Bowie,1999
0.085515873015873,Time,Aladdin Sane,David Bowie,1973
-0.003203914141414136,Time Will Crawl,Never Let Me Down,David Bowie,1987
-0.24696969696969698,'Tis a Pity She Was a Whore,"""",David Bowie,2014
0.5,Tonight (with  Tina Turner ) ,Tonight,David Bowie,1984
0.10595238095238095,Too Dizzy,Never Let Me Down,David Bowie,1987
0.11399572649572648,Tumble and Twirl,Tonight,David Bowie,1984
0.1964991181657848,TVC 15,Station to Station,David Bowie,1976
-0.0134310496267018,Uncle Arthur,David Bowie,David Bowie,1967
0.021208175505050497,Underground,Labyrinth,David Bowie,1986
0.021487603305785117,Untitled No. 1,The Buddha of Suburbia,David Bowie,1993
-0.04279982363315698,Unwashed and Somewhat Slightly Dazed,David Bowie,David Bowie,1969
0.32329931972789117,Up the Hill Backwards,Scary Monsters (And Super Creeps),David Bowie,1980
0.0,V-2 Schneider,"""Heroes""",David Bowie,1977
0.02407407407407407,Valentine's Day,The Next Day,David Bowie,2013
0.13388447971781303,Velvet Goldmine,"""",David Bowie,1975
-0.19722222222222222,The Voyeur of Utter Destruction (as Beauty),Outside,David Bowie,1995
0.0,Warszawa,Low,David Bowie,1977
